season,name,team,pos,games,minutes,points,rebounds,assists,steals,blocks,turnovers
2022-23,Marvin Bagley III,DET,C,42,990,504,269,36,19,30,46
2022-23,Khris Middleton,MIL,SF,33,801,497,140,163,23,5,71
2022-23,Obi Toppin,NYK,PF,67,1050,497,187,66,23,12,38
2022-23,Kendrick Nunn,LAL,SG,70,964,496,109,90,28,7,66
2022-23,Cameron Payne,PHO,PG,48,968,493,106,214,33,8,81
2022-23,Taurean Prince,MIN,PF,54,1192,493,132,84,28,15,69
2022-23,Isaac Okoro,CLE,SF,76,1652,490,187,87,56,30,42
2022-23,Aaron Wiggins,OKC,SG,70,1297,479,210,80,39,15,55
2022-23,Nicolas Batum,LAC,PF,78,1709,478,299,121,54,44,50
2022-23,Dennis Smith Jr.,CHO,PG,54,1390,474,167,261,75,25,82
2022-23,Ochai Agbaji,UTA,SG,59,1209,467,121,67,16,15,41
2022-23,Pat Connaughton,MIL,SF,61,1443,466,283,77,37,11,33
2022-23,David Roddy,MEM,PF,70,1258,466,193,59,29,19,57
2022-23,Trendon Watford,POR,PF,62,1182,459,238,130,32,12,71
2022-23,Jock Landale,PHO,C,69,979,456,280,68,16,30,59
2022-23,Isaiah Jackson,IND,C,63,1042,455,282,51,31,93,51
2022-23,Davion Mitchell,SAC,PG,80,1447,450,105,185,44,15,62
2022-23,James Wiseman,DET,C,45,867,450,267,30,7,27,51
2022-23,Victor Oladipo,MIA,SG,42,1106,449,128,146,57,12,87
2022-23,Larry Nance Jr.,NOP,C,65,1381,441,354,119,56,37,42
2022-23,Jeff Green,DEN,PF,56,1091,437,144,69,18,17,46
2022-23,Mitchell Robinson,NYK,C,59,1591,435,555,53,56,109,41
2022-23,Terence Davis,SAC,SG,64,841,431,139,67,43,12,53
2022-23,Xavier Tillman Sr.,MEM,C,61,1180,429,307,96,58,29,44
2022-23,Cory Joseph,DET,PG,62,1227,427,106,217,34,9,56
2022-23,Kenrich Williams,OKC,PF,53,1206,425,261,105,45,14,32
2022-23,Jaden Hardy,DAL,SG,48,708,420,89,65,17,7,46
2022-23,Anthony Lamb,GSW,SF,62,1195,415,215,96,28,20,54
2022-23,Patrick Beverley,LAL,SG,67,1816,415,247,194,63,41,60
2022-23,Kevin Knox,DET,SF,63,952,415,177,33,24,12,50
